B0	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	B13	B14	B15	B16	B17	B18	B19	B20	Class
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6
0	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	5
0	0	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	0	0	5
1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1
1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	1	0	0	0	0	1
0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6
1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1
1	0	0	1	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	1
0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	4
1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1
1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1
0	1	1	0	1	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	4
1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	6
1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6
0	1	1	0	0	0	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6
0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	7
1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	0	1	0	1	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1
1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6
0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	5
0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	7
1	0	0	1	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1
1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
0	1	1	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	2
0	1	1	0	1	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	0	2
0	1	1	0	0	1	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	2
0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	4
0	0	1	0	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	4
0	0	1	0	0	0	1	1	1	1	1	0	1	0	0	1	0	0	0	0	0	3
1	0	1	1	0	1	1	0	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1
0	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1
1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1
1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	0	0	0	1
0	1	1	0	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	2
0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	7
0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	4
1	0	0	1	0	1	1	1	1	1	0	1	0	0	1	1	0	0	0	0	0	1
1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1
0	0	0	0	0	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	3
0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	7
0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
0	1	1	0	1	1	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	3
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7
0	0	1	0	0	1	0	1	1	0	0	1	1	0	0	1	0	0	0	0	0	4
0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1
0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	7
0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	0	4
0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0	2
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	6
0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	5
0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	0	0	3
0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	3
0	0	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	0	0	4
1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1
1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	1
0	1	1	0	1	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	0	2
1	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	1
1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	6
1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	0	1	0	0	0	1
0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	7
0	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	2
