B_0	B_1	B_2	B_3	B_4	B_5	B_6	B_7	B_8	B_9	B_10	Action	Predict	Error	Fitness	Numer	GACount	SubsumerCount	AveActionSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	ActionCount
#	0	0	#	#	0	0	#	0	0	#	0	1000.0	0.00	85.06	6	92	31	276.6	999938	788494	0.5	1659.6299485313207	1665
1	1	1	#	#	1	#	1	#	1	#	0	0.0	0.00	83.03	6	86	18	288.9	999966	806476	0.5	1733.4004493230173	1476
#	0	#	0	0	0	#	0	0	#	#	1	0.0	0.00	70.83	6	76	15	297.8	999997	811962	0.5	1786.6519169170665	1461
0	0	#	#	#	0	0	#	0	#	0	0	1000.0	0.00	87.80	6	69	12	293.2	999920	833908	0.5	1758.9566380654192	1286
#	0	0	#	0	#	#	0	#	0	0	0	1000.0	0.00	110.06	6	62	16	269.8	999976	846459	0.5	1618.6424882502856	1219
#	0	#	#	#	0	0	0	0	#	0	0	1000.0	0.00	81.97	6	29	6	302.4	999605	908446	0.5	1814.5451125920174	700
0	0	0	#	#	0	0	#	#	0	#	1	0.0	0.00	87.49	6	15	2	277.8	999852	918546	0.5	1666.6589570074332	629
1	1	0	0	0	0	0	1	1	1	1	1	1000.0	0.00	361.47	6	15	0	54.7	998392	928760	1.0	328.42105263157896	19
#	1	1	#	#	#	1	1	1	#	1	1	1000.0	0.00	38.70	6	19	0	272.6	999992	934085	0.5	1635.3608794905574	521
0	1	1	1	1	#	1	0	#	0	1	0	0.0	0.19	164.56	6	11	0	121.1	999869	942373	0.8	726.6101694915254	59
#	#	#	1	1	1	0	1	#	#	1	1	970.8	40.64	40.62	6	16	0	164.9	999961	978177	0.5	989.2871090482449	154
0	#	0	#	#	#	#	#	0	0	0	0	982.7	19.47	89.45	6	15	0	226.1	999858	984464	0.5	1356.3431047723675	231
#	#	#	#	#	#	0	0	0	0	0	1	8.2	10.17	69.55	6	8	0	231.4	999994	990892	0.5	1388.6340049354583	135
1	1	1	1	#	#	#	#	0	#	1	1	980.0	22.13	107.72	6	14	0	177.0	999908	994376	0.5	1061.76	50
1	1	#	1	#	1	#	1	#	1	#	1	1000.0	0.00	62.61	5	554	131	278.9	999964	17563	0.5	1394.4268568726804	7707
0	0	0	0	#	0	#	#	#	#	0	0	1000.0	0.00	71.07	5	498	136	300.6	999844	84388	0.5	1502.7995792831073	7078
#	0	0	#	0	#	0	#	0	0	#	0	1000.0	0.00	75.43	5	356	96	268.8	999820	334763	0.5	1343.8350733709992	5220
0	#	0	0	0	#	0	#	0	#	#	0	1000.0	0.00	87.14	5	264	63	283.5	999523	456702	0.5	1417.410477018375	4224
#	#	#	1	1	#	1	#	1	1	1	1	1000.0	0.00	82.06	5	295	76	260.1	999932	481115	0.5	1300.5649576058192	4086
1	#	#	1	#	1	1	1	#	1	#	1	1000.0	0.00	76.72	5	207	48	290.3	999964	527604	0.5	1451.5941599493797	3716
0	0	#	#	0	0	#	#	0	#	0	1	0.0	0.00	120.04	5	267	68	298.7	999737	560806	0.5	1493.332209725884	3387
0	0	#	#	#	0	#	#	0	0	0	0	1000.0	0.00	73.26	5	151	36	292.2	999605	562537	0.5	1460.8055056754188	3424
#	0	#	0	#	0	0	0	0	#	#	1	0.0	0.00	80.32	5	227	64	283.9	999997	623450	0.5	1419.718308037006	2963
1	1	#	#	#	#	1	1	#	1	1	0	0.0	0.00	76.76	5	163	40	293.8	999933	633362	0.5	1468.8054883177313	2807
0	0	#	#	0	0	#	0	#	0	#	0	1000.0	0.00	92.19	5	189	51	272.8	999922	641702	0.5	1364.2195881089854	2895
#	#	#	0	0	0	0	0	#	#	0	0	1000.0	0.00	71.13	5	185	54	293.1	999854	652480	0.5	1465.2992281899824	2743
0	#	#	#	0	#	0	#	0	0	0	0	1000.0	0.00	87.07	5	180	46	268.9	999644	676410	0.5	1344.4075696208233	2523
0	0	#	#	0	#	0	0	0	#	#	1	0.0	0.00	63.23	5	116	24	293.1	999904	736028	0.5	1465.5317479307357	2055
#	0	0	0	#	#	#	0	0	#	0	0	1000.0	0.00	130.61	5	140	32	289.1	999531	738910	0.5	1445.5618968892118	1991
#	0	#	0	0	0	#	#	0	0	#	1	0.0	0.00	75.06	5	72	14	305.0	999997	753641	0.5	1525.1533082296976	1890
1	0	0	1	1	1	1	0	0	0	0	1	0.0	0.00	371.93	5	28	0	60.8	994145	822113	1.0	303.75	48
#	0	#	0	0	0	0	#	0	#	#	0	1000.0	0.00	85.43	5	62	20	289.4	999850	825120	0.5	1447.2012852529508	1348
#	#	1	1	1	1	#	#	#	1	1	0	0.0	0.00	84.07	5	45	9	287.2	999701	849591	0.5	1436.1020575446512	1197
#	0	0	0	#	0	#	0	0	#	#	1	0.0	0.00	116.19	5	44	11	280.1	999997	855047	0.5	1400.4452412984322	1153
1	#	#	1	#	#	1	#	1	1	1	0	0.0	0.00	96.03	5	49	18	301.2	999926	874114	0.5	1506.2251206095566	981
#	#	1	#	1	1	1	#	1	#	1	0	0.0	0.00	80.26	5	61	13	277.1	999717	879727	0.5	1385.3634471734015	994
#	#	#	1	1	1	1	1	1	#	#	0	0.0	0.00	84.52	5	44	14	286.0	999993	881530	0.5	1429.9033885543088	947
1	0	#	#	1	0	1	1	#	1	1	1	1000.0	0.00	78.06	5	13	0	153.6	998848	906005	0.7	767.9068920136622	193
#	1	#	1	1	#	1	1	#	#	1	0	0.0	0.00	86.05	5	34	3	291.6	999957	915377	0.5	1457.9610077809477	680
0	0	0	#	#	0	#	#	0	0	#	0	1000.0	0.00	72.90	5	21	4	287.7	999817	917684	0.5	1438.3169517459937	645
#	1	1	1	#	1	1	0	0	1	#	1	1000.0	0.12	133.04	5	28	0	161.7	999424	924415	0.7	808.7402496347058	143
0	0	0	1	0	#	1	0	#	#	0	1	0.0	0.42	116.12	5	21	0	160.9	999545	937928	0.7	804.364834315469	115
0	1	1	1	1	#	#	0	0	0	0	0	780.0	274.30	71.51	5	17	0	75.6	999851	946090	0.8	378.19999999999993	50
0	1	0	#	1	#	1	1	1	1	0	0	0.0	0.00	202.26	5	14	0	101.7	999053	947170	0.8	508.5	50
0	1	0	1	0	1	0	#	1	1	1	1	1000.0	0.00	205.81	5	8	0	73.0	998692	951588	0.9	365.0000000000001	29
0	#	#	0	#	0	0	#	#	0	0	1	0.0	0.00	42.33	5	5	0	307.0	999891	954987	0.5	1534.8229903224071	334
#	0	0	0	0	#	0	#	0	#	1	0	1000.0	0.08	60.06	5	4	0	222.9	999744	956515	0.6	1114.3449883140172	166
1	#	0	0	#	1	0	0	#	1	0	0	905.7	161.96	13.06	5	9	0	90.3	998998	972874	0.7	451.3207547169811	53
0	#	#	#	0	#	#	#	0	0	0	1	4.1	10.53	26.81	5	36	0	228.2	999994	974590	0.5	1141.159937563036	404
#	#	0	#	0	0	#	1	0	#	0	0	987.6	26.56	30.30	5	21	0	175.0	999794	974990	0.5	875.1427386038499	190
1	1	#	1	#	1	1	0	1	0	0	1	1000.0	0.00	123.64	5	5	0	105.2	999692	975116	0.8	526.1538461538462	26
#	0	0	1	#	0	1	1	0	#	0	1	66.7	127.63	17.84	5	9	0	96.7	998213	975764	0.7	483.55555555555554	45
#	1	#	1	1	#	1	#	#	1	1	1	1000.0	0.03	70.71	5	6	0	266.4	999727	975891	0.5	1332.0164277784775	182
1	0	1	#	1	1	#	0	1	#	1	0	0.0	0.00	84.28	5	10	0	149.1	999569	975995	0.7	745.6363636363637	55
0	0	#	#	0	0	#	0	#	1	#	0	982.4	26.75	32.43	5	21	0	177.6	999365	976230	0.5	887.8765485703128	186
0	0	#	#	0	0	#	0	0	#	#	0	1000.0	0.15	44.81	5	10	0	288.2	999817	976811	0.5	1440.7900983086768	176
1	0	0	0	#	#	0	0	#	1	#	1	34.9	47.14	55.58	5	10	0	137.0	999664	976846	0.6	684.9418604651163	86
1	0	0	#	1	#	0	#	0	0	#	0	935.5	98.67	18.26	5	8	0	118.2	999938	977387	0.6	590.9677419354839	93
#	#	#	0	0	#	0	0	#	#	0	0	998.5	4.41	67.52	5	14	0	223.4	999901	981143	0.5	1117.1780821701245	287
0	#	#	#	#	0	#	0	#	0	0	0	997.2	6.37	84.99	5	17	0	220.4	999922	983833	0.5	1101.922795895621	244
#	0	#	#	#	0	1	0	#	0	0	0	984.3	20.47	64.20	5	12	0	169.6	999991	983906	0.5	847.7837199652965	128
0	#	#	1	0	0	#	0	#	0	#	0	972.3	45.47	11.79	5	7	0	159.4	999922	984047	0.5	797.2127653225704	108
0	#	1	#	1	0	0	#	#	0	0	0	902.8	156.24	13.38	5	3	0	131.8	999338	984064	0.6	658.8194444444445	72
1	#	1	1	1	#	1	#	#	#	#	1	987.2	18.04	76.00	5	19	0	219.6	999908	984183	0.5	1098.1845450772014	224
#	#	0	#	#	0	1	#	0	0	0	1	15.7	27.14	22.23	5	11	0	169.9	999889	985954	0.5	849.6015560866232	128
1	1	#	1	#	#	1	1	0	#	#	1	972.0	35.01	45.62	5	9	0	178.6	999964	986684	0.5	893.1144262590932	107
#	#	1	#	#	1	1	1	1	#	1	1	1000.0	0.00	67.19	4	557	145	269.2	999992	14915	0.5	1076.7305798517827	7736
#	#	0	0	0	0	#	0	#	0	#	1	0.0	0.00	86.46	4	494	124	288.2	999997	210340	0.5	1152.9307149208855	6141
#	#	0	#	0	0	#	0	0	#	0	1	0.0	0.00	106.71	4	514	143	286.8	999996	236978	0.5	1147.19203100979	6030
1	#	1	#	1	#	#	1	1	1	#	1	1000.0	0.00	82.45	4	436	122	271.8	999911	304666	0.5	1087.039546693694	5441
1	1	1	0	0	0	1	0	0	#	0	1	0.0	0.00	162.27	4	103	0	82.9	996652	415020	0.9	331.79668368787844	307
1	1	#	#	#	1	#	1	1	#	1	1	1000.0	0.00	63.44	4	277	65	280.0	999911	427962	0.5	1119.8793489873894	4458
#	1	1	#	1	#	#	1	1	1	#	1	1000.0	0.00	95.31	4	250	60	272.2	999911	428409	0.5	1088.818263277616	4452
#	1	#	1	1	#	1	1	1	#	#	0	0.0	0.00	89.24	4	292	69	285.2	999993	440760	0.5	1140.7161905037492	4359
1	#	#	1	1	#	#	1	#	1	1	0	0.0	0.00	54.22	4	230	47	299.1	999673	513920	0.5	1196.2056419066482	3701
0	#	0	0	0	#	#	0	#	0	#	1	0.0	0.00	70.87	4	256	70	292.8	999867	562308	0.5	1171.3284719143612	3441
#	1	#	1	1	1	1	#	1	#	#	1	1000.0	0.00	64.53	4	236	63	269.1	999759	576974	0.5	1076.589748955559	3316
#	#	0	0	0	0	0	#	0	#	#	0	1000.0	0.00	86.39	4	217	74	289.7	999744	623582	0.5	1158.7417779939851	2975
1	0	0	#	#	0	0	0	0	1	1	1	0.0	0.00	99.25	4	76	0	117.3	998618	668737	0.8	469.04960874284814	327
#	0	#	0	0	#	0	#	#	0	0	1	0.0	0.00	55.75	4	157	32	295.7	999979	680858	0.5	1182.8840720898747	2479
0	0	#	#	#	0	0	0	0	#	#	0	1000.0	0.00	69.96	4	134	26	295.4	999817	694644	0.5	1181.7728216237324	2424
0	#	0	#	0	0	1	0	1	0	1	0	1000.0	0.00	113.03	4	55	0	120.3	998053	729765	0.8	481.0515625994712	275
1	#	1	1	#	#	#	1	#	1	1	1	1000.0	0.00	77.94	4	110	20	266.3	999980	765189	0.5	1065.1180691088762	1848
#	0	0	#	#	0	0	0	#	0	#	0	1000.0	0.00	66.61	4	100	20	278.9	999938	768393	0.5	1115.648436452766	1819
#	#	#	1	#	1	1	1	1	#	1	1	1000.0	0.00	97.52	4	99	19	258.8	999992	782208	0.5	1035.379838424791	1711
1	0	1	1	0	#	1	1	#	1	0	0	0.0	0.34	174.75	4	31	0	111.5	999254	819506	0.8	446.09386589284145	162
0	0	0	#	0	#	0	#	#	#	0	0	1000.0	0.00	66.84	4	58	10	276.8	999637	836944	0.5	1107.2905091513933	1268
1	#	#	#	#	#	1	1	1	1	1	0	0.0	0.00	64.93	4	46	6	303.0	999896	840307	0.5	1211.8013907014988	1221
#	1	1	1	#	#	1	1	1	#	#	0	0.0	0.00	120.60	4	79	24	289.7	999823	842296	0.5	1158.9895351180587	1225
0	#	0	#	0	0	0	#	0	#	#	1	0.0	0.00	121.30	4	65	16	281.5	999802	843354	0.5	1125.8386251631177	1239
#	1	1	#	0	1	0	0	0	0	0	0	1000.0	0.00	76.37	4	15	0	114.0	999575	844967	0.8	456.0685870386384	131
#	0	#	0	0	#	0	0	#	#	0	1	0.0	0.00	85.69	4	33	4	298.9	999827	868255	0.5	1195.447289876281	1018
#	#	1	1	1	#	#	0	1	1	1	1	1000.0	0.00	52.69	4	18	0	204.6	999741	870343	0.6	818.3099299950125	508
#	0	1	1	0	0	0	1	1	0	0	0	1000.0	0.00	305.25	4	35	0	77.4	999777	870753	0.9	309.7627118644067	59
1	0	1	0	#	0	1	1	1	0	1	1	1000.0	0.00	198.08	4	15	0	76.8	998552	877720	0.9	307.245283018868	53
1	0	0	1	0	0	0	1	0	#	1	0	1000.0	0.00	164.89	4	23	0	80.7	998667	881522	0.9	322.6896551724138	58
#	0	1	#	1	1	1	0	1	1	0	0	0.0	0.17	133.94	4	19	0	110.7	998621	885981	0.8	442.98375562218155	122
1	1	1	1	#	1	#	1	#	#	#	0	0.0	0.00	85.13	4	37	4	302.8	999828	891012	0.5	1211.19115428	829
1	1	1	0	1	#	0	#	1	1	0	0	0.0	0.00	113.70	4	17	0	109.2	998938	896538	0.8	436.68662379878464	113
0	1	1	1	0	1	0	#	1	#	1	1	1000.0	0.00	120.23	4	21	0	111.1	998099	900260	0.8	444.56565656565647	99
#	1	1	#	1	1	#	#	1	#	1	0	0.0	0.00	64.00	4	28	6	283.3	999829	901413	0.5	1133.1700586827938	825
#	0	#	0	#	0	0	#	#	0	0	1	0.0	0.00	71.58	4	20	3	299.8	999979	902626	0.5	1199.3389926206964	797
1	#	1	1	0	0	#	1	1	1	0	1	1000.0	0.00	131.87	4	15	0	103.3	999730	913055	0.8	413.22727272727275	88
0	1	0	1	1	1	#	0	0	1	1	0	0.0	0.00	122.81	4	12	0	82.6	999366	920173	0.9	330.2222222222221	45
#	1	#	1	#	1	#	1	#	1	1	0	0.0	0.00	79.59	4	27	1	300.9	999824	922928	0.5	1203.6955695720799	602
1	1	#	1	#	1	#	1	#	#	1	0	0.0	0.00	41.01	4	11	1	312.0	999971	925739	0.5	1248.0346645283778	571
0	1	1	1	#	0	1	0	1	1	#	0	0.0	1.43	119.63	4	9	0	122.0	999738	926010	0.8	487.85714285714283	84
1	1	0	0	0	1	1	#	1	1	#	1	1000.0	2.60	129.00	4	10	0	105.9	998776	934974	0.8	423.7966101694915	59
1	0	0	1	#	0	0	0	0	1	1	1	0.0	0.00	89.90	4	5	0	87.7	998465	937025	0.9	350.87499999999994	32
1	1	#	#	1	#	#	1	0	#	1	1	974.0	48.38	7.78	4	42	0	180.9	999961	938914	0.5	723.6651956254509	465
0	0	1	1	0	#	1	1	0	1	1	1	1000.0	0.00	170.67	4	9	0	73.3	998255	942561	0.9	293.2173913043478	23
0	0	0	#	#	1	0	#	#	#	0	1	28.8	48.51	8.92	4	28	0	178.6	999859	945488	0.5	714.5812293361023	404
#	1	#	1	#	1	1	1	1	#	#	0	0.0	0.00	39.04	4	11	0	289.4	999993	948793	0.5	1157.4050710111708	393
