B_0	B_1	B_2	B_3	B_4	B_5	B_6	B_7	B_8	B_9	B_10	Action	Predict	Error	Fitness	Numer	GACount	SubsumerCount	AveActionSetSize	TimeStampGA	InitTimeStamp	Specificity	DeletionProb	ActionCount
1	1	#	#	#	1	#	1	#	#	1	0	9.7	17.27	30.82	8	26	0	245.9	499957	487607	0.5	1967.486114503294	209
1	1	1	#	#	#	#	#	1	1	1	0	0.0	0.00	98.89	7	337	70	303.6	499713	2014	0.5	2125.3210443273583	3885
#	0	0	0	0	0	#	#	#	0	#	0	1000.0	0.00	90.61	7	305	84	290.4	499845	9136	0.5	2033.0180435227555	3842
1	1	1	#	#	#	1	#	1	#	1	1	1000.0	0.00	92.48	7	228	56	264.7	499938	9992	0.5	1852.7009611600797	3926
1	1	#	1	#	#	#	#	1	1	1	0	0.0	0.00	88.79	7	311	84	303.2	499713	25907	0.5	2122.4397959276776	3687
#	0	0	0	0	#	#	0	#	#	0	0	1000.0	0.00	99.06	7	156	40	280.9	499912	42198	0.5	1966.3832344485481	3533
#	1	1	1	1	#	#	1	1	#	#	1	1000.0	0.00	78.42	7	258	76	275.0	499938	65557	0.5	1924.7138467924715	3443
0	#	0	0	#	0	#	0	#	0	#	1	0.0	0.00	102.42	7	221	55	279.4	499947	72448	0.5	1955.985699090962	3252
#	1	1	#	#	1	#	#	1	1	1	1	1000.0	0.00	113.12	7	257	60	273.2	499873	78558	0.5	1912.3802356166632	3306
0	0	0	0	#	0	#	#	#	#	0	0	1000.0	0.00	89.64	7	241	68	292.4	499912	84388	0.5	2046.4827464219586	3208
0	#	#	0	#	0	#	#	0	0	0	0	1000.0	0.00	93.72	7	255	60	292.6	499970	92238	0.5	2047.9957009373995	3224
#	1	#	1	1	1	#	#	1	#	1	1	1000.0	0.00	97.20	7	176	29	290.8	499873	98327	0.5	2035.3338016727726	3156
0	0	#	0	0	#	#	0	0	#	#	0	1000.0	0.00	104.51	7	221	59	302.0	499970	131296	0.5	2114.047298251159	2857
#	0	0	0	#	0	#	0	0	#	#	1	0.0	0.00	108.86	7	195	50	288.6	499819	133911	0.5	2020.1094303458476	2916
1	#	#	#	1	#	1	1	1	#	1	0	0.0	0.00	119.56	7	197	55	298.6	499957	157625	0.5	2090.2354851560863	2696
#	1	#	#	#	1	1	1	1	#	1	1	1000.0	0.00	100.00	7	139	29	277.8	499873	174141	0.5	1944.54645936993	2577
#	#	1	1	#	1	#	1	#	1	1	0	0.0	0.00	88.23	7	141	37	309.5	499989	216179	0.5	2166.578464143329	2221
#	0	#	#	0	0	#	#	0	0	0	1	0.0	0.00	76.53	7	129	27	284.9	499871	228312	0.5	1994.197574101816	2185
#	#	0	#	0	0	#	0	0	#	0	1	0.0	0.00	145.58	7	167	48	287.9	499820	236978	0.5	2015.1437950025154	2130
1	#	1	#	1	1	1	1	#	#	#	0	0.0	0.00	71.70	7	127	38	296.1	499957	241176	0.5	2072.5414187991864	2034
#	#	#	0	#	0	0	#	0	0	0	0	1000.0	0.00	88.31	7	102	34	292.3	499970	287924	0.5	2046.1785636010695	1650
#	#	#	0	0	0	0	#	#	0	0	1	0.0	0.00	105.15	7	118	21	278.5	499947	289363	0.5	1949.6333372067463	1654
#	0	0	#	0	#	0	#	0	0	#	0	1000.0	0.00	63.41	7	80	16	279.4	499915	334763	0.5	1955.64713542889	1302
1	#	1	#	#	1	1	#	1	1	#	0	0.0	0.00	89.57	7	67	11	311.9	499902	344551	0.5	2183.2803816949413	1191
0	0	#	0	#	0	#	0	0	#	#	0	1000.0	0.00	104.23	7	40	5	308.3	499970	369276	0.5	2158.342069808838	994
0	0	#	#	0	#	0	0	0	#	#	0	1000.0	0.00	91.29	7	32	3	290.8	499970	387239	0.5	2035.3896029180848	850
1	1	#	1	#	1	1	1	#	#	#	0	0.0	0.00	20.89	7	7	0	290.8	499957	436487	0.5	2035.770671178241	511
1	1	#	1	1	1	#	#	1	#	#	0	0.0	0.00	125.12	6	272	76	287.1	499957	4121	0.5	1722.7498600525669	3810
#	#	0	0	#	#	0	0	0	0	#	1	0.0	0.00	76.25	6	330	89	277.3	499769	4930	0.5	1663.5832614288292	3839
0	#	#	0	0	0	0	#	0	#	#	1	0.0	0.00	83.60	6	257	65	280.4	499988	7076	0.5	1682.3404285707009	3829
#	0	#	0	0	0	0	#	#	#	0	0	1000.0	0.00	95.12	6	308	86	278.9	499970	7310	0.5	1673.558069946083	3892
0	#	0	#	#	0	0	0	0	#	#	1	0.0	0.00	88.82	6	296	71	276.0	499852	9818	0.5	1655.8452396546882	3769
1	1	#	1	#	1	#	1	#	1	#	1	1000.0	0.00	106.49	6	290	63	265.8	499770	17563	0.5	1594.6910072433866	3761
1	#	1	1	1	#	1	#	1	#	#	1	1000.0	0.00	146.37	6	295	81	265.9	499938	21819	0.5	1595.1371507942013	3822
1	1	#	1	#	1	1	#	1	#	#	1	1000.0	0.00	79.54	6	274	71	262.1	499840	37411	0.5	1572.673731401077	3676
#	0	#	0	0	#	#	#	0	0	0	1	0.0	0.00	78.04	6	230	46	292.1	499769	46664	0.5	1752.32006070769	3548
#	#	0	0	0	0	#	#	0	#	0	0	1000.0	0.00	69.53	6	241	59	287.6	499854	50501	0.5	1725.573914449999	3498
#	1	#	1	#	1	#	1	#	1	1	0	0.0	0.00	77.82	6	252	59	296.7	499989	75932	0.5	1780.4547080323296	3308
0	#	0	0	0	#	#	0	#	#	0	0	1000.0	0.00	78.07	6	209	49	282.8	499999	82155	0.5	1696.7579193894571	3286
0	0	1	1	1	1	1	1	#	#	0	0	0.0	0.01	155.80	6	81	0	118.1	497507	92478	0.8	708.4950088412953	391
1	1	#	1	1	1	#	#	#	#	1	1	1000.0	0.00	57.56	6	159	36	281.6	499735	148754	0.5	1689.5558217837818	2798
#	0	0	#	0	#	0	0	#	0	#	0	1000.0	0.00	107.32	6	205	56	275.7	499448	149576	0.5	1654.4299453872159	2738
1	1	1	1	#	#	#	#	1	#	1	1	1000.0	0.00	105.82	6	192	46	270.2	499938	162734	0.5	1621.2775643348655	2714
0	#	0	#	#	#	#	0	0	0	0	1	0.0	0.00	107.46	6	203	54	282.0	499998	185116	0.5	1692.1564384440503	2454
0	0	#	0	#	0	0	#	0	#	#	0	1000.0	0.00	87.63	6	143	33	310.9	499970	187409	0.5	1865.1090037477975	2443
0	#	0	#	#	#	#	0	0	0	0	0	1000.0	0.00	73.82	6	118	25	287.0	499932	189821	0.5	1722.235040293489	2423
0	#	#	0	#	0	#	#	0	0	0	1	0.0	0.00	121.05	6	166	42	277.6	499769	229556	0.5	1665.5668928602531	2114
1	1	#	1	1	#	1	#	#	1	#	0	0.0	0.00	89.41	6	147	39	290.4	499902	233698	0.5	1742.6161545126042	2084
0	0	#	0	#	0	0	#	#	#	0	1	0.0	0.00	121.17	6	94	23	274.1	499977	262767	0.5	1644.4397823655322	1920
#	#	0	#	#	#	0	0	0	0	0	0	1000.0	0.00	80.60	6	89	27	280.6	499994	272764	0.5	1683.5194296826871	1737
#	1	1	#	1	#	1	#	#	1	1	1	1000.0	0.00	85.53	6	105	22	279.6	499938	281672	0.5	1677.385592604587	1683
#	1	1	#	#	1	1	1	#	#	1	0	0.0	0.00	82.62	6	82	17	312.6	499957	301565	0.5	1875.882432800426	1541
0	#	0	#	0	#	0	0	0	#	#	1	0.0	0.00	99.12	6	56	13	279.5	499879	327979	0.5	1676.7935977648222	1360
#	#	1	#	1	#	1	1	#	1	1	1	1000.0	0.00	100.59	6	83	17	284.8	499938	333612	0.5	1708.8314968313662	1296
#	0	#	0	#	0	0	#	#	0	0	0	1000.0	0.00	101.51	6	86	20	291.5	499970	341716	0.5	1749.0595524052515	1202
1	1	1	1	#	#	1	#	#	#	1	0	0.0	0.00	94.35	6	86	17	305.7	499957	345316	0.5	1834.3992234544971	1184
#	0	#	0	#	0	0	#	0	0	#	0	1000.0	0.00	72.93	6	38	6	300.3	499984	349009	0.5	1801.7639820902054	1141
#	1	1	#	#	#	1	#	1	1	1	1	1000.0	0.00	86.25	6	47	12	267.0	499938	352758	0.5	1602.1677188880162	1158
1	#	#	1	#	1	1	1	#	1	#	0	0.0	0.00	74.90	6	45	7	294.5	499916	371909	0.5	1767.1818796800503	1021
#	0	0	0	#	#	#	#	0	0	0	0	1000.0	0.00	97.25	6	45	4	283.5	499892	382655	0.5	1701.1870790784374	875
#	1	1	1	1	1	#	#	#	0	1	0	0.0	0.00	87.65	6	20	0	216.6	499957	417018	0.6	1299.3378016795818	318
1	#	1	#	1	#	1	#	1	#	1	0	0.0	0.00	71.18	6	15	0	306.5	499957	425838	0.5	1838.923342007913	584
0	0	#	0	0	0	0	#	#	#	#	0	1000.0	0.00	23.85	6	7	0	309.9	499970	433060	0.5	1859.1348840002395	523
#	#	1	1	1	#	#	1	#	1	1	0	0.0	0.00	63.22	6	16	0	290.8	499989	433426	0.5	1744.6740549086887	520
#	1	1	#	#	#	1	1	#	#	1	1	983.9	22.38	33.73	6	9	0	220.3	499938	492230	0.5	1321.840505718688	125
#	#	0	#	0	#	0	0	0	0	#	1	0.0	0.00	106.41	5	268	76	279.3	499879	11645	0.5	1396.4176779900868	3772
#	#	1	#	#	1	1	1	1	#	1	1	1000.0	0.00	70.48	5	268	65	274.9	499873	14915	0.5	1374.434623751276	3790
0	0	#	0	0	#	0	0	#	#	#	1	0.0	0.00	73.21	5	269	51	279.3	499947	18531	0.5	1396.6633233536606	3736
#	1	#	1	1	#	1	#	1	#	1	1	1000.0	0.00	59.47	5	233	60	278.0	499938	28965	0.5	1390.1737176445254	3686
#	#	#	0	0	0	#	#	0	0	0	1	0.0	0.00	94.06	5	256	59	272.4	499870	30697	0.5	1362.218344853535	3650
0	0	#	0	#	#	#	0	0	#	0	1	0.0	0.00	111.17	5	260	78	280.9	499769	47362	0.5	1404.73365905989	3588
0	#	#	0	#	#	0	0	0	0	#	1	0.0	0.00	72.66	5	244	59	265.1	499769	53500	0.5	1325.7465823295568	3471
1	1	1	1	#	#	#	#	1	#	1	0	0.0	0.00	86.79	5	239	61	297.6	499957	53747	0.5	1488.0320483577289	3391
1	1	1	#	1	#	#	#	1	1	#	0	0.0	0.00	107.10	5	209	61	296.6	499902	64953	0.5	1483.1951195075299	3440
#	1	#	#	1	#	1	1	1	#	1	1	1000.0	0.00	76.13	5	179	36	292.2	499938	78246	0.5	1460.911496323438	3302
0	0	#	0	#	0	#	#	0	0	#	0	1000.0	0.00	64.18	5	147	37	306.3	499970	118661	0.5	1531.4553829387226	3013
0	0	0	#	#	#	#	0	#	0	0	0	1000.0	0.00	98.55	5	216	58	289.5	499893	130020	0.5	1447.5511124010804	2935
#	1	1	#	#	1	1	#	1	1	#	1	1000.0	0.00	77.88	5	202	51	267.5	499873	130558	0.5	1337.6376656263533	2912
0	#	0	0	#	0	0	0	#	#	#	1	0.0	0.00	102.03	5	202	46	279.6	499947	139129	0.5	1398.1417713224532	2775
0	#	#	#	#	0	0	0	#	0	0	0	1000.0	0.00	73.57	5	208	49	294.3	499999	158331	0.5	1471.7368452086662	2724
#	#	#	0	0	#	0	0	0	#	0	1	0.0	0.00	78.61	5	192	58	276.0	499988	163197	0.5	1379.950716132466	2668
0	1	1	#	#	1	1	1	#	#	1	1	1000.0	0.00	72.67	5	98	18	214.1	499873	195262	0.6	1070.4217098674333	1177
#	#	0	0	#	0	0	0	#	0	#	0	1000.0	0.00	81.31	5	161	40	274.2	499999	196121	0.5	1371.0514939099144	2369
0	0	0	0	0	#	#	#	#	#	0	0	1000.0	0.00	59.44	5	107	24	292.2	499912	225625	0.5	1460.8615958041187	2120
0	#	0	#	0	#	0	#	#	0	0	1	0.0	0.00	88.01	5	157	36	278.9	499947	227963	0.5	1394.5907745344275	2126
1	1	#	#	1	1	#	#	#	1	1	1	1000.0	0.00	64.57	5	128	27	259.4	499719	230705	0.5	1297.2476140271044	2104
0	#	#	0	#	#	0	0	0	0	#	0	1000.0	0.00	64.49	5	163	44	297.1	499970	276637	0.5	1485.274861377297	1766
0	0	1	#	1	0	1	1	1	1	0	1	1000.0	0.72	287.93	5	38	0	73.3	498533	289637	0.9	366.6666666666666	99
0	0	1	0	1	1	0	0	1	1	1	1	1000.0	1.12	229.64	5	18	0	60.2	490748	322812	1.0	301.04651162790697	43
1	1	0	1	0	1	1	0	#	1	#	0	0.0	0.00	124.16	5	21	0	108.9	499476	347924	0.8	544.4844858299955	153
0	0	0	0	1	1	0	1	0	#	1	0	1000.0	0.00	115.35	5	18	0	88.5	499039	353631	0.9	442.5316455696203	79
0	0	#	#	0	#	#	0	#	0	0	0	1000.0	0.00	100.23	5	78	13	286.3	499970	365042	0.5	1431.5387152561664	1080
1	1	1	#	1	#	1	0	#	#	1	0	0.0	0.00	50.89	5	28	1	222.4	499883	369736	0.6	1111.9491482514718	534
0	#	#	0	0	#	#	0	0	0	1	1	0.0	0.00	38.69	5	12	1	207.8	499560	372896	0.6	1039.1109685031836	517
#	0	#	#	0	0	0	#	#	0	0	0	1000.0	0.00	95.84	5	38	6	279.4	499970	373541	0.5	1397.2062610217017	961
1	#	1	#	#	#	1	1	#	1	1	1	1000.0	0.00	79.78	5	44	2	264.5	499939	376762	0.5	1322.6828095688631	968
0	0	#	0	#	0	0	0	#	#	#	1	0.0	0.00	57.17	5	24	1	276.3	499973	390502	0.5	1381.4628888697898	890
1	1	#	#	#	1	#	1	1	#	1	0	0.0	0.00	83.21	5	32	8	289.4	499957	391413	0.5	1446.8383737879503	865
#	1	1	#	1	1	#	1	#	#	1	0	0.0	0.00	54.72	5	19	2	299.8	499989	395805	0.5	1498.9229506961626	796
#	0	#	#	0	0	0	#	#	0	0	1	0.0	0.00	57.43	5	22	2	278.0	499947	406059	0.5	1390.158048747895	772
1	1	#	#	#	1	#	1	1	#	1	1	1000.0	0.00	55.82	5	9	0	282.4	499865	427962	0.5	1411.8075219649545	563
1	0	1	0	#	#	1	0	#	1	1	1	912.5	136.04	46.91	5	18	0	92.5	499115	460668	0.7	462.6875	80
0	0	0	#	#	#	#	0	#	1	0	1	10.2	20.47	23.53	5	24	0	179.4	499805	464661	0.5	896.7969595953765	269
#	1	1	#	#	1	1	1	#	#	1	1	1000.0	0.02	49.33	5	4	0	271.6	499873	471608	0.5	1357.9118787753375	224
1	#	0	1	1	1	#	1	1	0	#	1	1000.0	0.46	81.04	5	9	0	157.7	499735	472559	0.7	788.7121212121212	66
0	1	0	1	#	1	#	1	#	1	#	0	42.1	58.32	45.67	5	16	0	126.2	499868	477330	0.6	630.8421052631579	95
0	1	#	#	#	1	#	1	1	#	1	1	973.5	44.44	22.76	5	19	0	176.7	499873	477666	0.5	883.7265309481966	186
1	#	1	#	1	1	#	1	#	#	0	0	16.2	19.78	52.67	5	17	0	163.5	499902	478672	0.5	817.2666688172549	167
#	#	#	0	0	#	0	0	#	#	0	0	986.9	25.75	12.25	5	18	0	225.4	499999	478883	0.5	1126.765817607134	329
#	1	1	#	1	1	#	#	#	#	1	0	2.2	5.54	61.10	5	16	0	256.7	499989	480447	0.5	1283.4309645868375	317
#	#	1	1	#	1	#	1	0	#	1	0	9.0	13.47	49.58	5	10	0	185.1	499814	485624	0.5	925.3035423541226	111
0	#	#	0	#	0	#	#	0	0	#	1	13.7	18.68	46.72	5	5	0	221.5	499901	486556	0.5	1107.6945653858513	188
1	1	#	1	#	1	#	#	1	#	#	0	21.4	35.01	10.57	5	9	0	238.4	499980	487447	0.5	1191.9972751143603	208
#	1	#	#	#	#	1	#	1	1	1	0	7.6	18.05	10.62	5	16	0	254.2	499933	487755	0.5	1271.2283686967992	196
0	#	#	#	0	0	#	#	#	0	0	0	996.4	7.45	84.79	5	14	0	226.4	499999	488710	0.5	1131.782373784623	202
0	0	#	1	#	#	0	0	#	0	#	1	15.4	23.66	32.07	5	6	0	171.5	499879	492000	0.5	857.6923076923077	65
#	#	0	#	0	0	#	#	#	0	#	1	51.8	82.28	19.76	5	12	0	185.6	499982	494743	0.4	927.9266795140479	153
#	#	0	1	1	1	#	1	#	#	1	1	1000.0	0.00	105.91	5	8	0	177.4	499749	495407	0.5	887.1621621621621	37
1	#	#	#	1	1	#	#	1	1	1	0	0.0	0.00	74.01	4	311	68	301.0	499961	4279	0.5	1204.1664387247745	3942
#	0	#	#	#	0	#	0	0	0	0	0	1000.0	0.00	107.55	4	327	88	293.8	499970	6892	0.5	1175.386685543562	3813
1	1	#	#	#	1	#	1	1	1	#	1	1000.0	0.00	104.56	4	254	52	267.6	499865	7230	0.5	1070.212416140549	3855
#	0	0	0	#	#	0	0	0	#	#	0	1000.0	0.00	72.08	4	275	62	284.5	499892	8299	0.5	1138.0804283699354	3830
#	1	#	1	#	#	#	1	1	1	1	1	1000.0	0.00	83.73	4	307	84	287.0	499938	14613	0.5	1148.1954721595996	3807
1	1	1	#	#	#	1	#	1	1	#	1	1000.0	0.00	86.39	4	279	73	256.8	499938	21335	0.5	1027.186983267239	3764
#	#	#	0	0	#	0	0	0	#	0	0	1000.0	0.00	81.28	4	294	80	278.4	499970	22582	0.5	1113.5331250450286	3741
0	#	0	0	#	0	0	#	0	#	#	0	1000.0	0.00	60.77	4	271	78	291.3	499892	24733	0.5	1165.2293179767842	3743
#	#	#	#	1	#	1	1	1	1	1	1	1000.0	0.00	105.65	4	311	99	270.4	499938	44179	0.5	1081.7948670411186	3613
1	#	#	#	1	1	1	#	#	1	1	1	1000.0	0.00	83.09	4	249	59	257.1	499945	89450	0.5	1028.4624141380264	3177
#	0	0	0	0	0	#	#	#	#	0	0	1000.0	0.00	59.78	4	168	37	280.7	499912	93393	0.5	1122.7603391958826	3133
#	1	1	#	1	1	#	#	1	1	#	1	1000.0	0.00	60.06	4	173	33	277.9	499949	102368	0.5	1111.4364111520217	3104
1	1	#	1	1	1	#	#	#	1	#	1	1000.0	0.00	77.81	4	211	63	261.4	499949	140194	0.5	1045.7367181438638	2831
1	1	1	#	#	#	1	1	#	#	1	1	1000.0	0.00	66.23	4	150	40	279.7	499938	173846	0.5	1118.927646384327	2598
1	1	1	1	0	0	0	1	0	0	0	1	0.0	0.43	310.59	4	36	0	57.7	498798	210030	1.0	230.7826086956522	69
#	0	#	0	0	0	#	#	0	0	#	0	1000.0	0.00	72.26	4	168	38	305.8	499970	214063	0.5	1223.2706443291029	2196
#	1	#	#	1	1	1	1	#	#	1	0	0.0	0.00	82.88	4	124	31	309.6	499957	215522	0.5	1238.3535195879028	2214
0	1	0	0	0	1	1	0	1	0	1	0	1000.0	0.32	227.92	4	25	0	62.0	494793	222409	1.0	248.1764705882353	68
#	#	#	0	#	0	0	0	0	#	0	1	0.0	0.00	76.58	4	132	21	277.5	499988	233021	0.5	1109.9557304866105	2094
1	#	#	1	1	1	#	#	#	1	1	1	1000.0	0.00	72.16	4	120	28	270.7	499771	235366	0.5	1082.729152893895	2067
0	1	0	1	#	1	0	1	1	1	0	0	0.0	0.00	132.81	4	31	0	86.6	499120	245168	0.9	346.3243105540146	114
1	1	#	1	#	1	#	#	#	1	1	1	1000.0	0.00	75.50	4	91	19	274.4	499899	261495	0.5	1097.6562122042144	1884
#	1	#	1	1	#	1	#	#	1	1	0	0.0	0.00	82.00	4	142	35	300.7	499909	265859	0.5	1202.6109038866512	1853
#	0	#	0	#	#	0	#	0	0	0	1	0.0	0.00	125.04	4	145	43	287.3	499769	267728	0.5	1149.040136550775	1845
1	1	#	#	#	1	1	1	#	#	1	0	0.0	0.00	71.42	4	94	22	301.8	499957	275114	0.5	1207.3697125223568	1707
#	1	1	#	1	#	#	1	1	#	1	1	1000.0	0.00	114.14	4	94	16	285.4	499938	289190	0.5	1141.492743854551	1658
1	1	#	1	1	#	1	#	#	1	0	1	1000.0	0.00	115.82	4	57	8	207.2	499846	291356	0.6	828.9255521725917	830
1	0	1	#	1	1	#	1	#	1	#	1	1000.0	0.00	66.70	4	51	5	208.9	499810	303256	0.6	835.6859806094521	780
#	#	0	#	0	#	0	0	0	#	0	1	0.0	0.00	58.28	4	60	14	285.7	499820	307158	0.5	1142.664479700812	1506
0	0	0	1	0	1	0	1	1	0	#	0	1000.0	0.00	96.50	4	20	0	85.1	498355	309723	0.9	340.4035999999999	101
0	0	0	1	#	0	1	1	0	#	0	1	0.0	0.00	111.40	4	34	0	113.7	498478	318356	0.8	454.738016864617	189
0	#	#	0	0	0	0	#	#	0	#	1	0.0	0.00	112.80	4	54	16	275.6	499947	336390	0.5	1102.4153361117476	1272
#	1	1	1	1	1	1	0	0	#	#	0	0.0	0.00	101.70	4	29	0	155.7	499883	342714	0.7	622.7213055999551	301
#	#	0	0	#	0	0	#	0	1	0	1	0.0	0.00	92.50	4	30	4	219.9	499819	343808	0.6	879.6372704565372	604
0	1	1	1	1	1	1	#	0	0	0	1	1000.0	0.00	122.82	4	15	0	76.7	497726	348222	0.9	306.77777777777777	72
0	#	1	0	1	1	1	0	0	1	1	0	0.0	0.00	121.40	4	11	0	87.8	499944	352488	0.9	351.2238805970149	67
0	#	0	#	#	0	#	#	0	0	0	0	1000.0	0.00	77.24	4	42	9	293.2	499932	363333	0.5	1172.9479950467216	1070
1	1	#	#	1	1	1	1	0	0	0	0	0.0	0.00	155.31	4	34	0	113.2	499519	371475	0.8	452.64088691153137	126
0	1	0	0	0	#	0	1	1	0	#	0	1000.0	0.46	87.24	4	17	0	114.9	499958	377078	0.8	459.7905146771493	114
1	0	1	0	0	1	0	1	0	1	0	0	1000.0	1.13	207.21	4	8	0	61.6	499406	378574	1.0	246.58064516129033	31
1	1	0	0	1	#	0	0	#	0	0	0	1000.0	0.24	177.81	4	28	0	114.8	499620	380836	0.8	459.25063576555067	119
